Sample,Position (m),U    (ppm),Mo   (ppm),V   (ppm),Cr   (ppm),Co    (ppm),Cu    (ppm),Zn     (ppm),Ni    (ppm),Pb     (ppm),Uau (ppm),Moau (ppm),Vau (ppm),Crau (ppm),Coau (ppm),Crau (ppm),Znau (ppm),Niau (ppm),Pbau (ppm),Uef    (ppm),Moef (ppm),Vef (ppm),Cref (ppm),Coef (ppm),Cuef (ppm),Znef (ppm),Nief (ppm),Pbef (ppm),Fe       (%),Mo/Th ,Mo/Fe,U/TOCR,V/    (V+Ni),TOCR    (%),TOC    (%),TS    (%),Pyrite    (%)
F25A,12.45,1.4,1.9,46.9,109.7,8.3,13.1,38.8,32.6,8.3,0.7,1.6,22.1,86.2,3.9,5.9,21.7,20.6,3.9,2,6.6,1.9,4.7,2.4,1.8,2.3,2.7,1.9,1.87,0.6,1,1.1,0.59,1.3,0.36,0.94,1.91
F25A,12.45,1.4,1.9,46.9,109.7,8.3,13.1,38.8,32.6,8.3,0.7,1.6,22.1,86.2,3.9,5.9,21.7,20.6,3.9,2,6.6,1.9,4.7,2.4,1.8,2.3,2.7,1.9,1.87,0.6,1,1.1,0.59,1.3,0.36,0.94,1.91
F26,13.3,0.7,0.1,15.8,22.6,1.9,3.2,7.6,8.7,2.5,0.6,0,11,18,1,1.8,4.3,6.3,1.7,5.6,1.3,3.3,5,2.7,2.3,2.3,3.7,3,0.66,0.1,0.1,0.5,0.65,1.6,0.08,0.23,0.4
F27,14.13,0.6,0.2,24.8,23.5,1.6,3.4,12.2,9.2,2.9,0.5,0.1,19.4,18.3,0.6,1.9,8.5,6.6,1.9,4.1,3.1,4.6,4.6,2.1,2.2,3.3,3.5,3,0.83,0.2,0.2,0.6,0.73,1,0.06,0.24,0.35
F28,14.95,1.2,0,25.4,36.8,3.5,4.5,14.4,12.5,1.8,1,0.1,19.5,31.2,2.5,2.8,10.3,9.7,0.7,7.4,0.1,4.3,6.6,4.2,2.7,3.5,4.4,1.7,1.1,0,0,0.9,0.67,1.3,0.08,0.33,0.6
F29,16,4.2,0,22.9,16.4,1.7,2.8,8.9,5.7,2.4,4.1,0,18.7,12.4,1,1.6,6,3.6,1.7,35.9,1,5.5,4.1,2.9,2.3,3.1,2.8,3.3,0.64,0.1,0.1,2.9,0.8,1.4,0.04,0.14,0.12
F30,16.9,4.8,0,46,39.2,1,2.9,18.3,10.1,4,4.7,0,40.1,33.5,0,1.2,14.2,7.2,3,29.1,0.3,7.7,6.9,1.2,1.7,4.5,3.5,3.9,0.5,0,0,4.9,0.82,1,0.06,0.25,0.31
F31,17.85,2.1,0.3,21.5,25.9,0.3,2.7,10,9.1,3,2,0.2,15.8,20.5,0,1.1,6.1,6.4,2,13.6,4.3,3.8,4.8,0.4,1.7,2.6,3.3,3,0.44,1.9,0.6,2.6,0.7,0.8,0.03,0.25,0.16
F32,19.05,3.4,0.2,20.7,17.5,0.1,2.7,6.1,7.9,2.4,3.3,0.2,17.3,14.2,0,1.7,3.7,6.2,1.8,35.5,6.3,6.1,5.4,0.1,2.8,2.6,4.8,4,0.37,0.7,0.7,3.4,0.72,1,0.09,0.38,0.56
F33,20.5,1.8,0,31.1,44.6,1.4,4.6,16.2,11.9,3,1.7,0,25.1,39,0.3,2.8,12.1,9,2,11,0.7,5.2,7.9,1.6,2.6,3.9,4.1,2.9,0.67,0.1,0.1,1.6,0.72,1.2,0.05,0.16,0.19
F34,21.2,4,0.3,24.7,15.5,0.1,2.5,6.5,6.5,1.1,3.9,0.3,21.1,12.1,0,1.4,4.1,4.7,0.5,40.4,8.5,6.9,4.6,0.2,2.4,2.6,3.7,1.8,0.3,0.5,1.2,4,0.79,1,0.02,0.1,0.14
F35,21.75,7.7,1.3,51.8,26.8,2.9,8.4,19.4,19.2,4.1,7.5,1.2,46.8,22.1,2,6.9,16,16.8,3.3,55.9,22.5,10.5,5.7,4.2,5.9,5.7,8.1,4.8,0.5,2.6,2.5,8.6,0.73,0.9,0.04,0.02,0.03
